daily_depto,2020-04-20,2020-04-21,2020-04-22,2020-04-23,2020-04-24,2020-04-25,2020-04-26
BN,0.0,1.0,1.0,1.0,1.0,,1.0
CB,6.0,6.0,6.0,6.0,6.0,,6.0
CH,0.0,0.0,0.0,0.0,0.0,,0.0
LP,12.0,12.0,13.0,13.0,14.0,,15.0
OR,2.0,2.0,2.0,2.0,2.0,,4.0
PN,1.0,1.0,1.0,1.0,1.0,,1.0
PT,1.0,1.0,1.0,1.0,1.0,,1.0
SC,12.0,14.0,16.0,19.0,19.0,20.0,22.0
TJ,0.0,0.0,0.0,0.0,0.0,,0.0
