daily_fecha,daily_depto,daily_total_confirmados,daily_total_activos,daily_total_decesos,daily_total_recuperados,daily_delta_confirmados,daily_delta_activos,daily_delta_decesos,daily_delta_recuperados
2020-04-03,TJ,1,1,0,0,0,0,0,0
2020-04-04,TJ,1,1,0,0,0,0,0,0
2020-04-05,TJ,1,1,0,0,0,0,0,0
2020-04-06,TJ,1,1,0,0,0,0,0,0
2020-04-07,TJ,1,1,0,0,0,0,0,0
2020-04-08,TJ,1,1,0,0,0,0,0,0
2020-04-09,TJ,1,1,0,0,0,0,0,0
2020-04-10,TJ,1,1,0,0,0,0,0,0
2020-04-11,TJ,1,1,0,0,0,0,0,0
2020-04-12,TJ,2,2,0,0,1,1,0,0
2020-04-13,TJ,2,2,0,0,0,0,0,0
2020-04-14,TJ,2,2,0,0,0,0,0,0
2020-04-15,TJ,2,2,0,0,0,0,0,0
2020-04-16,TJ,2,2,0,0,0,0,0,0
2020-04-17,TJ,3,3,0,0,1,1,0,0
2020-04-18,TJ,3,3,0,0,0,0,0,0
2020-04-19,TJ,3,3,0,0,0,0,0,0
2020-04-20,TJ,3,3,0,0,0,0,0,0
2020-04-21,TJ,3,3,0,0,0,0,0,0
2020-04-22,TJ,3,3,0,0,0,0,0,0
2020-04-23,TJ,3,3,0,0,0,0,0,0
2020-04-24,TJ,3,3,0,0,0,0,0,0
2020-04-25,TJ,3,3,0,0,0,0,0,0
2020-04-26,TJ,3,3,0,0,0,0,0,0
2020-04-27,TJ,3,3,0,0,0,0,0,0
2020-04-28,TJ,3,3,0,0,0,0,0,0
2020-04-29,TJ,3,3,0,0,0,0,0,0
2020-04-30,TJ,3,3,0,0,0,0,0,0
2020-05-01,TJ,3,3,0,0,0,0,0,0
2020-05-02,TJ,3,3,0,0,0,0,0,0
2020-05-03,TJ,3,3,0,0,0,0,0,0
2020-05-04,TJ,4,3,1,0,1,0,1,0
2020-05-05,TJ,6,5,1,0,2,2,0,0
2020-05-06,TJ,6,5,1,0,0,0,0,0
2020-05-07,TJ,6,5,1,0,0,0,0,0
2020-05-08,TJ,9,8,1,0,3,3,0,0
2020-05-09,TJ,10,7,1,2,1,-1,0,2
2020-05-10,TJ,10,7,1,2,0,0,0,0
2020-05-11,TJ,10,7,1,2,0,0,0,0
2020-05-12,TJ,13,10,1,2,3,3,0,0
2020-05-13,TJ,13,10,1,2,0,0,0,0
2020-05-14,TJ,13,10,1,2,0,0,0,0
2020-05-15,TJ,13,10,1,2,0,0,0,0
2020-05-16,TJ,13,10,1,2,0,0,0,0
2020-05-17,TJ,13,10,1,2,0,0,0,0
2020-05-18,TJ,13,9,2,2,0,-1,1,0
2020-05-19,TJ,13,8,2,3,0,-1,0,1
2020-05-20,TJ,14,9,2,3,1,1,0,0
2020-05-21,TJ,17,11,2,4,3,2,0,1
2020-05-22,TJ,18,10,2,6,1,-1,0,2
2020-05-23,TJ,18,10,2,6,0,0,0,0
2020-05-24,TJ,18,10,2,6,0,0,0,0
2020-05-25,TJ,19,10,2,7,1,0,0,1
2020-05-26,TJ,19,9,3,7,0,-1,1,0
2020-05-27,TJ,19,9,3,7,0,0,0,0
2020-05-28,TJ,22,12,3,7,3,3,0,0
2020-05-29,TJ,24,14,3,7,2,2,0,0
2020-05-30,TJ,32,22,3,7,8,8,0,0
2020-05-31,TJ,32,22,3,7,0,0,0,0
2020-06-01,TJ,37,26,4,7,5,4,1,0
2020-06-02,TJ,37,26,4,7,0,0,0,0
2020-06-03,TJ,40,29,4,7,3,3,0,0
2020-06-04,TJ,44,33,4,7,4,4,0,0
2020-06-05,TJ,49,38,4,7,5,5,0,0
2020-06-06,TJ,58,44,4,10,9,6,0,3
2020-06-07,TJ,58,44,4,10,0,0,0,0
2020-06-08,TJ,65,51,4,10,7,7,0,0
2020-06-09,TJ,68,54,4,10,3,3,0,0
2020-06-10,TJ,69,55,4,10,1,1,0,0
2020-06-11,TJ,77,63,4,10,8,8,0,0
2020-06-12,TJ,87,72,5,10,10,9,1,0
2020-06-13,TJ,112,96,5,11,25,24,0,1
2020-06-14,TJ,112,96,5,11,0,0,0,0
2020-06-15,TJ,123,107,5,11,11,11,0,0
2020-06-16,TJ,149,133,5,11,26,26,0,0
2020-06-17,TJ,175,156,7,12,26,23,2,1
2020-06-18,TJ,191,170,7,14,16,14,0,2
2020-06-19,TJ,206,185,7,14,15,15,0,0
2020-06-20,TJ,239,215,8,16,33,30,1,2
2020-06-21,TJ,246,222,8,16,7,7,0,0
2020-06-22,TJ,275,247,8,20,29,25,0,4
2020-06-23,TJ,299,269,8,22,24,22,0,2
2020-06-24,TJ,331,296,8,27,32,27,0,5
2020-06-25,TJ,393,355,10,28,62,59,2,1
2020-06-26,TJ,432,394,10,28,39,39,0,0
2020-06-27,TJ,514,473,11,30,82,79,1,2
