daily_depto,2020-04-20,2020-04-21,2020-04-22,2020-04-23,2020-04-24,2020-04-25,2020-04-26
BN,0.0,0.0,0.0,0.0,0.0,,73.0
CB,13.0,13.0,13.0,13.0,13.0,,931.0
CH,0.0,0.0,0.0,0.0,0.0,,120.0
LP,6.0,6.0,9.0,9.0,13.0,,1221.0
OR,8.0,8.0,8.0,8.0,8.0,,280.0
PN,0.0,0.0,0.0,0.0,6.0,,71.0
PT,0.0,0.0,0.0,0.0,0.0,,112.0
SC,10.0,10.0,14.0,14.0,14.0,33.0,1995.0
TJ,0.0,0.0,0.0,0.0,0.0,,38.0
