daily_fecha,daily_depto,daily_total_confirmados,daily_total_activos,daily_total_decesos,daily_total_recuperados
2020-05-20,BN,833,775,54,4
2020-05-20,CB,259,193,11,55
2020-05-20,CH,19,13,2,4
2020-05-20,LP,363,162,21,180
2020-05-20,OR,138,58,10,70
2020-05-20,PN,12,4,1,7
2020-05-20,PT,40,28,1,11
2020-05-20,SC,3241,2925,97,219
2020-05-20,TJ,14,9,2,3
