daily_fecha,daily_depto,daily_total_confirmados,daily_total_activos,daily_total_decesos,daily_total_recuperados
2020-05-24,BN,1097,1022,71,4
2020-05-24,CB,329,261,13,55
2020-05-24,CH,21,8,2,11
2020-05-24,LP,394,161,24,209
2020-05-24,OR,150,65,13,72
2020-05-24,PN,13,5,1,7
2020-05-24,PT,42,24,1,17
2020-05-24,SC,4199,3828,123,248
2020-05-24,TJ,18,10,2,6
