daily_fecha,daily_depto,daily_total_confirmados,daily_total_activos,daily_total_decesos,daily_total_recuperados
2020-05-14,BN,509,473,35,1
2020-05-14,CB,170,117,8,45
2020-05-14,CH,15,12,2,1
2020-05-14,LP,322,202,19,101
2020-05-14,OR,132,58,9,65
2020-05-14,PN,12,4,1,7
2020-05-14,PT,36,28,1,7
2020-05-14,SC,2163,1960,76,127
2020-05-14,TJ,13,10,1,2
