daily_fecha,daily_depto,daily_total_confirmados,daily_total_activos,daily_total_decesos,daily_total_recuperados
2020-06-18,BN,3326,3106,167,53
2020-06-18,CB,2179,1996,97,86
2020-06-18,CH,185,158,11,16
2020-06-18,LP,1386,1003,53,330
2020-06-18,OR,443,316,34,93
2020-06-18,PN,409,384,12,13
2020-06-18,PT,392,348,9,35
2020-06-18,SC,12988,9001,307,3680
2020-06-18,TJ,191,170,7,14
