daily_fecha,daily_depto,daily_total_confirmados,daily_total_activos,daily_total_decesos,daily_total_recuperados
2020-05-30,BN,1707,1610,89,8
2020-05-30,CB,556,473,23,60
2020-05-30,CH,25,11,2,12
2020-05-30,LP,478,208,28,242
2020-05-30,OR,190,103,14,73
2020-05-30,PN,14,2,1,11
2020-05-30,PT,48,19,1,28
2020-05-30,SC,6542,5945,149,448
2020-05-30,TJ,32,22,3,7
