daily_fecha,daily_depto,daily_delta_confirmados,daily_delta_activos,daily_delta_decesos,daily_delta_recuperados
2020-04-04,BN,0,0,0,0
2020-04-04,CB,1,1,0,0
2020-04-04,CH,0,0,0,0
2020-04-04,LP,3,3,0,0
2020-04-04,OR,0,0,0,0
2020-04-04,PN,0,0,0,0
2020-04-04,PT,0,0,0,0
2020-04-04,SC,14,14,0,0
2020-04-04,TJ,0,0,0,0
