daily_fecha,daily_depto,daily_total_confirmados,daily_total_activos,daily_total_decesos,daily_total_recuperados
2020-05-02,BN,191,187,4,0
2020-05-02,CB,81,50,6,25
2020-05-02,CH,4,4,0,0
2020-05-02,LP,236,187,15,34
2020-05-02,OR,111,77,6,28
2020-05-02,PN,12,5,1,6
2020-05-02,PT,26,23,1,2
2020-05-02,SC,806,704,38,64
2020-05-02,TJ,3,3,0,0
