daily_fecha,daily_depto,daily_total_confirmados,daily_total_activos,daily_total_decesos,daily_total_recuperados
2020-04-27,BN,62,61,1,0
2020-04-27,CB,78,50,6,22
2020-04-27,CH,3,3,0,0
2020-04-27,LP,185,151,15,19
2020-04-27,OR,92,78,4,10
2020-04-27,PN,12,5,1,6
2020-04-27,PT,26,23,1,2
2020-04-27,SC,553,489,25,39
2020-04-27,TJ,3,3,0,0
