daily_fecha,daily_depto,daily_total_confirmados,daily_total_activos,daily_total_decesos,daily_total_recuperados
2020-05-29,BN,1576,1482,86,8
2020-05-29,CB,488,407,21,60
2020-05-29,CH,25,12,2,11
2020-05-29,LP,444,180,27,237
2020-05-29,OR,166,81,13,72
2020-05-29,PN,14,2,1,11
2020-05-29,PT,48,27,1,20
2020-05-29,SC,5946,5477,146,323
2020-05-29,TJ,24,14,3,7
