daily_fecha,daily_depto,daily_delta_confirmados,daily_delta_activos,daily_delta_decesos,daily_delta_recuperados
2020-05-20,BN,154,147,7,0
2020-05-20,CB,13,13,0,0
2020-05-20,CH,2,-1,0,3
2020-05-20,LP,8,2,0,6
2020-05-20,OR,0,-1,1,0
2020-05-20,PN,0,0,0,0
2020-05-20,PT,1,1,0,0
2020-05-20,SC,259,246,2,11
2020-05-20,TJ,1,1,0,0
