daily_fecha,daily_depto,daily_delta_confirmados,daily_delta_activos,daily_delta_decesos,daily_delta_recuperados
2020-05-31,BN,102,99,3,0
2020-05-31,CB,55,55,0,0
2020-05-31,CH,1,-1,0,2
2020-05-31,LP,29,27,0,2
2020-05-31,OR,14,14,0,0
2020-05-31,PN,0,0,0,0
2020-05-31,PT,20,20,0,0
2020-05-31,SC,169,76,0,93
2020-05-31,TJ,0,0,0,0
