daily_fecha,daily_depto,daily_delta_confirmados,daily_delta_activos,daily_delta_decesos,daily_delta_recuperados
2020-04-01,BN,0,0,0,0
2020-04-01,CB,1,1,0,0
2020-04-01,CH,0,0,0,0
2020-04-01,LP,0,0,0,0
2020-04-01,OR,0,0,0,0
2020-04-01,PN,3,3,0,0
2020-04-01,PT,0,0,0,0
2020-04-01,SC,4,3,1,0
2020-04-01,TJ,0,0,0,0
