daily_fecha,daily_depto,daily_total_confirmados,daily_total_activos,daily_total_decesos,daily_total_recuperados
2020-04-14,BN,0,0,0,0
2020-04-14,CB,57,53,4,0
2020-04-14,CH,1,1,0,0
2020-04-14,LP,91,79,11,1
2020-04-14,OR,30,27,2,1
2020-04-14,PN,11,11,0,0
2020-04-14,PT,15,14,1,0
2020-04-14,SC,190,175,10,5
2020-04-14,TJ,2,2,0,0
