daily_fecha,daily_depto,daily_total_confirmados,daily_total_activos,daily_total_decesos,daily_total_recuperados
2020-06-25,BN,3920,3627,206,87
2020-06-25,CB,2970,2717,136,117
2020-06-25,CH,470,419,29,22
2020-06-25,LP,2373,1940,68,365
2020-06-25,OR,721,560,54,107
2020-06-25,PN,513,479,20,14
2020-06-25,PT,588,531,17,40
2020-06-25,SC,16555,9624,373,6558
2020-06-25,TJ,393,355,10,28
