daily_fecha,daily_depto,daily_delta_confirmados,daily_delta_activos,daily_delta_decesos,daily_delta_recuperados
2020-05-21,BN,69,66,3,0
2020-05-21,CB,7,7,0,0
2020-05-21,CH,0,0,0,0
2020-05-21,LP,12,10,1,1
2020-05-21,OR,3,1,2,0
2020-05-21,PN,0,0,0,0
2020-05-21,PT,1,1,0,0
2020-05-21,SC,173,157,10,6
2020-05-21,TJ,3,2,0,1
