daily_fecha,daily_depto,daily_delta_confirmados,daily_delta_activos,daily_delta_decesos,daily_delta_recuperados
2020-06-17,BN,134,131,0,3
2020-06-17,CB,126,117,6,3
2020-06-17,CH,5,4,1,0
2020-06-17,LP,44,41,1,2
2020-06-17,OR,20,14,2,4
2020-06-17,PN,71,68,3,0
2020-06-17,PT,17,17,0,0
2020-06-17,SC,359,117,5,237
2020-06-17,TJ,26,23,2,1
