daily_fecha,daily_depto,daily_total_confirmados,daily_total_activos,daily_total_decesos,daily_total_recuperados
2020-05-06,BN,212,204,8,0
2020-05-06,CB,82,43,6,33
2020-05-06,CH,6,5,1,0
2020-05-06,LP,260,195,16,49
2020-05-06,OR,113,70,7,36
2020-05-06,PN,12,5,1,6
2020-05-06,PT,35,28,1,6
2020-05-06,SC,1160,1042,50,68
2020-05-06,TJ,6,5,1,0
