daily_fecha,daily_depto,daily_total_confirmados,daily_total_activos,daily_total_decesos,daily_total_recuperados
2020-05-12,BN,389,362,26,1
2020-05-12,CB,130,78,7,45
2020-05-12,CH,15,12,2,1
2020-05-12,LP,316,223,17,76
2020-05-12,OR,128,62,9,57
2020-05-12,PN,12,4,1,7
2020-05-12,PT,36,28,1,7
2020-05-12,SC,1925,1744,64,117
2020-05-12,TJ,13,10,1,2
