daily_fecha,daily_depto,daily_total_confirmados,daily_total_activos,daily_total_decesos,daily_total_recuperados
2020-04-24,BN,33,32,1,0
2020-04-24,CB,70,51,6,13
2020-04-24,CH,2,2,0,0
2020-04-24,LP,155,128,14,13
2020-04-24,OR,65,55,2,8
2020-04-24,PN,12,5,1,6
2020-04-24,PT,21,20,1,0
2020-04-24,SC,446,413,19,14
2020-04-24,TJ,3,3,0,0
