daily_fecha,daily_depto,daily_delta_confirmados,daily_delta_activos,daily_delta_decesos,daily_delta_recuperados
2020-04-27,BN,5,5,0,0
2020-04-27,CB,0,-9,0,9
2020-04-27,CH,1,1,0,0
2020-04-27,LP,17,14,0,3
2020-04-27,OR,13,13,0,0
2020-04-27,PN,0,0,0,0
2020-04-27,PT,0,-2,0,2
2020-04-27,SC,28,21,3,4
2020-04-27,TJ,0,0,0,0
