daily_fecha,daily_depto,daily_total_confirmados,daily_total_activos,daily_total_decesos,daily_total_recuperados,daily_total_sospechosos,daily_total_descartados,daily_total_total
2020-04-22,BN,2,1,1,0,0,46,49
2020-04-22,CB,63,44,6,13,0,833,915
2020-04-22,CH,1,1,0,0,1,113,115
2020-04-22,LP,140,118,13,9,4,1071,1237
2020-04-22,OR,59,49,2,8,0,245,314
2020-04-22,PN,12,11,1,0,1,70,84
2020-04-22,PT,21,20,1,0,20,102,144
2020-04-22,SC,371,341,16,14,0,1622,2023
2020-04-22,TJ,3,3,0,0,3,36,42
