daily_fecha,daily_depto,daily_total_confirmados,daily_total_activos,daily_total_decesos,daily_total_recuperados,daily_total_sospechosos,daily_total_descartados,daily_total_total
2020-04-27,BN,62,61,1,85,0,40,188
2020-04-27,CB,78,59,6,948,13,0,1045
2020-04-27,CH,3,3,0,120,0,3,126
2020-04-27,LP,185,154,15,1265,16,4,1485
2020-04-27,OR,92,78,4,282,10,0,388
2020-04-27,PN,12,5,1,74,6,2,95
2020-04-27,PT,26,25,1,112,0,11,150
2020-04-27,SC,553,487,25,2050,41,0,2669
2020-04-27,TJ,3,3,0,38,0,7,48
