index,date_get,municipio,positivos,recuperados,decesos,activos
55,2020-05-02 22:44,Chimore,1,1,0,0
64,2020-05-02 22:44,Cobija,12,6,1,5
66,2020-05-02 22:44,Cochabamba,31,10,2,19
68,2020-05-02 22:44,Colcapirhua,1,1,0,0
79,2020-05-02 22:44,Concepcion,1,0,0,1
80,2020-05-02 22:44,Copacabana,1,1,0,0
95,2020-05-02 22:44,El Alto,59,6,6,47
