index,date_get,decesos,municipio,positivos,recuperados,activos
132,2020-05-21 20:09,8,La Paz,152,30,114
154,2020-05-21 20:12,17,Montero,523,11,495
162,2020-05-21 20:12,0,Omereque,5,4,1
163,2020-05-21 20:13,5,Oruro,86,22,59
174,2020-05-21 20:14,2,Patacamaya,27,3,22
183,2020-05-21 20:15,0,Porongo (Ayacucho),3,1,2
187,2020-05-21 20:15,1,Potosi,29,2,26
209,2020-05-21 20:17,1,Robore,7,3,3
212,2020-05-21 20:18,1,Sacaba,50,1,48
226,2020-05-21 20:19,0,San Carlos,1,1,0
252,2020-05-21 20:22,55,Santa Cruz de la Sierra,1501,48,1398
262,2020-05-21 20:23,0,Santibañez,12,8,4
272,2020-05-21 20:24,2,Sucre,14,1,11
282,2020-05-21 20:25,0,Tarija,11,0,11
310,2020-05-21 20:27,0,Vallegrande,9,4,5
311,2020-05-21 20:27,1,Punata,8,0,7
312,2020-05-21 20:28,0,Cairoma,11,1,10
313,2020-05-21 20:28,0,Capinota,0,0,0
314,2020-05-21 20:28,1,Quillacollo,23,0,22
315,2020-05-21 20:28,1,Cliza,2,0,1
317,2020-05-21 20:28,0,Huanuni,33,4,29
318,2020-05-21 20:28,0,Laja,1,0,1
319,2020-05-21 20:28,4,Eucaliptus,11,0,7
320,2020-05-21 20:28,0,San Julián,3,0,3
321,2020-05-21 20:28,0,Malla,1,0,1
323,2020-05-21 20:29,0,Santuario de Quillacas,3,2,1
324,2020-05-21 20:29,3,La Guardia,101,0,98
325,2020-05-21 20:29,0,Cotoca,11,0,11
326,2020-05-21 20:29,1,Warnes,77,0,76
327,2020-05-21 20:29,0,Uyuni,3,0,3
328,2020-05-21 20:29,0,Santa Rosa,19,0,19
329,2020-05-21 20:29,0,San Pedro,32,0,32
330,2020-05-21 20:29,0,Genreal Saavedra,15,0,15
331,2020-05-21 20:29,39,Trinidad,534,0,495
334,2020-05-21 20:30,0,Mineros,29,0,29
335,2020-05-21 20:30,1,El Torno,42,0,41
336,2020-05-21 20:30,0,Colcha K,4,0,4
337,2020-05-21 20:30,0,Pailon,10,0,10
339,2020-05-21 20:30,2,Mairana,19,0,17
340,2020-05-21 20:30,0,Buena Vista,5,0,5
341,2020-05-21 20:30,1,Portachuelo,34,0,33
342,2020-05-21 20:31,0,Viacha,5,0,5
343,2020-05-21 20:31,0,Camiri,7,0,7
344,2020-05-21 20:31,1,Vinto,2,0,1
345,2020-05-21 20:31,0,Guayaramerin,5,0,5
346,2020-05-21 20:31,0,Achacachi,1,0,1
347,2020-05-21 20:31,0,Cabezas,3,0,3
348,2020-05-21 20:31,1,Yacuiba,1,0,0
349,2020-05-21 20:31,0,Puerto Suarez,1,0,1
350,2020-05-21 20:31,0,Chulumani,1,0,1
351,2020-05-21 20:31,0,Samaipata,2,0,2
352,2020-05-21 20:32,0,Moro Moro,8,0,8
353,2020-05-21 20:32,1,Cuatro Cañadas,3,0,2
354,2020-05-21 20:32,0,San Ignacio de Moxos,2,0,2
355,2020-05-21 20:32,0,Culpina,1,0,1
356,2020-05-21 20:32,0,Cajuata,1,0,1
357,2020-05-21 20:32,1,Sica Sica,2,0,1
358,2020-05-21 20:32,0,San Juan de Yapacaní,7,0,7
359,2020-05-21 20:32,0,San Lorenzo,1,0,1
360,2020-05-21 20:32,1,Colpa Bélgica,14,0,13
361,2020-05-21 20:32,1,Fernández Alonzo,23,0,22
362,2020-05-21 20:32,0,Ayopaya (V. de Independencia),1,0,1
363,2020-05-21 20:33,0,Umala,4,0,4
364,2020-05-21 20:33,0,Tarata,1,0,1
365,2020-05-21 20:33,0,Anrani,1,0,1
366,2020-05-21 20:33,0,Vacas,1,0,1
367,2020-05-21 20:33,0,Colomi,1,0,1
368,2020-05-21 20:33,0,Villa Tunari,4,0,4
369,2020-05-21 20:33,0,Puerto Villarroel,1,0,1
370,2020-05-21 20:33,0,Entre Rios,1,0,1
371,2020-05-21 20:33,1,San Benito,7,0,6
372,2020-05-21 20:33,0,Yapacaní,6,0,6
373,2020-05-21 20:34,0,Monteagudo,1,0,1
374,2020-05-21 20:34,1,Sipe Sipe,18,0,17
375,2020-05-21 20:34,0,Tiquipaya,2,0,2
376,2020-05-21 20:34,0,Okinawa Uno,1,0,1
377,2020-05-21 20:34,0,San Andres,10,0,10
55,2020-05-21 20:02,0,Chimore,1,1,0
64,2020-05-21 20:03,1,Cobija,12,6,5
66,2020-05-21 20:03,2,Cochabamba,71,10,59
68,2020-05-21 20:03,0,Colcapirhua,2,1,1
79,2020-05-21 20:04,0,Concepcion,2,0,2
80,2020-05-21 20:04,0,Copacabana,1,1,0
95,2020-05-21 20:06,8,El Alto,126,10,108
