index,date_get,decesos,municipio,positivos,recuperados,activos
132,2020-04-29 01:02:56+00:00,8,La Paz,95,13,74
154,2020-04-29 01:03:24+00:00,3,Montero,126,4,119
162,2020-04-29 01:03:32+00:00,0,Omereque,5,1,4
163,2020-04-29 01:03:33+00:00,2,Oruro,60,10,48
174,2020-04-29 01:03:48+00:00,1,Patacamaya,23,0,22
183,2020-04-29 01:04:01+00:00,0,Porongo (Ayacucho),1,1,0
187,2020-04-29 01:04:05+00:00,1,Potosi,22,2,19
209,2020-04-29 01:04:34+00:00,1,Robore,5,3,1
212,2020-04-29 01:04:37+00:00,1,Sacaba,2,1,0
226,2020-04-29 01:04:55+00:00,0,San Carlos,1,0,1
252,2020-04-29 01:05:31+00:00,18,Santa Cruz de la Sierra,322,27,277
262,2020-04-29 01:05:47+00:00,0,Santibañez,12,8,4
272,2020-04-29 01:06:01+00:00,0,Sucre,3,0,3
282,2020-04-29 01:06:15+00:00,0,Tarija,3,0,3
310,2020-04-29 01:06:57+00:00,0,Vallegrande,8,4,4
311,2020-04-29 01:06:58+00:00,1,Punata,9,0,8
312,2020-04-29 01:06:59+00:00,0,Cairoma,12,0,12
313,2020-04-29 01:07:00+00:00,0,Capinota,0,0,0
314,2020-04-29 01:07:01+00:00,1,Quillacollo,18,0,17
315,2020-04-29 01:07:02+00:00,1,Cliza,1,0,0
317,2020-04-29 01:07:05+00:00,0,Huanuni,20,0,20
318,2020-04-29 01:07:06+00:00,0,Laja,1,0,1
319,2020-04-29 01:07:07+00:00,2,Eucaliptus,9,0,7
320,2020-04-29 01:07:08+00:00,0,San Julián,1,0,1
321,2020-04-29 01:07:09+00:00,0,Malla,1,0,1
322,2020-04-29 01:07:10+00:00,0,Chulumani,1,0,1
323,2020-04-29 01:07:11+00:00,0,Santuario de Quillacas,3,0,3
324,2020-04-29 01:07:12+00:00,2,La Guardia,34,0,32
325,2020-04-29 01:07:13+00:00,0,Cotoca,7,0,7
326,2020-04-29 01:07:14+00:00,1,Warnes,16,0,15
327,2020-04-29 01:07:15+00:00,0,Uyuni,1,0,1
328,2020-04-29 01:07:16+00:00,0,Santa Rosa,16,0,16
329,2020-04-29 01:07:17+00:00,0,San Pedro,1,0,1
330,2020-04-29 01:07:18+00:00,0,Genreal Saavedra,5,0,5
331,2020-04-29 01:07:19+00:00,1,Trinidad,61,0,60
334,2020-04-29 01:07:22+00:00,0,Mineros,1,0,1
335,2020-04-29 01:07:23+00:00,0,El Torno,4,0,4
336,2020-04-29 01:07:24+00:00,0,Colcha K,3,0,3
337,2020-04-29 01:07:25+00:00,0,Pailon,2,0,2
338,2020-04-29 01:07:26+00:00,0,Moxos,1,0,1
339,2020-04-29 01:07:27+00:00,0,Mairana,1,0,1
340,2020-04-29 01:07:28+00:00,0,Buena Vista,1,0,1
55,2020-04-29 01:01:29+00:00,0,Chimore,1,1,0
64,2020-04-29 01:01:42+00:00,1,Cobija,12,6,5
66,2020-04-29 01:01:44+00:00,2,Cochabamba,29,10,17
68,2020-04-29 01:01:46+00:00,0,Colcapirhua,1,1,0
79,2020-04-29 01:01:59+00:00,0,Concepcion,1,0,1
80,2020-04-29 01:02:00+00:00,0,Copacabana,1,1,0
95,2020-04-29 01:02:16+00:00,6,El Alto,51,5,40
