index,date_get,decesos,municipio,positivos,recuperados,activos
132,2020-04-27 03:04:25+00:00,8,La Paz,77,10,59
154,2020-04-27 03:05:08+00:00,3,Montero,104,3,98
162,2020-04-27 03:05:23+00:00,0,Omereque,5,1,4
163,2020-04-27 03:05:24+00:00,1,Oruro,46,8,37
174,2020-04-27 03:05:45+00:00,1,Patacamaya,20,0,19
183,2020-04-27 03:06:02+00:00,0,Porongo (Ayacucho),1,1,0
187,2020-04-27 03:06:09+00:00,1,Potosi,22,0,21
209,2020-04-27 03:06:52+00:00,1,Robore,5,2,2
212,2020-04-27 03:06:57+00:00,1,Sacaba,2,0,1
226,2020-04-27 03:07:25+00:00,0,San Carlos,1,0,1
252,2020-04-27 03:08:17+00:00,13,Santa Cruz de la Sierra,295,21,261
262,2020-04-27 03:08:36+00:00,0,Santibañez,12,3,9
272,2020-04-27 03:08:55+00:00,0,Sucre,2,0,2
282,2020-04-27 03:09:15+00:00,0,Tarija,3,0,3
310,2020-04-27 03:10:11+00:00,0,Vallegrande,8,4,4
311,2020-04-27 03:10:12+00:00,1,Punata,8,0,7
312,2020-04-27 03:10:13+00:00,0,Cairoma,12,0,12
313,2020-04-27 03:10:14+00:00,0,Capinota,0,0,0
314,2020-04-27 03:10:15+00:00,1,Quillacollo,14,0,13
315,2020-04-27 03:10:16+00:00,1,Cliza,1,0,0
317,2020-04-27 03:10:19+00:00,0,Huanuni,13,0,13
318,2020-04-27 03:10:20+00:00,0,Laja,1,0,1
319,2020-04-27 03:10:21+00:00,1,Eucaliptus,3,0,2
320,2020-04-27 03:10:22+00:00,0,San Julián,1,0,1
321,2020-04-27 03:10:23+00:00,0,Malla,1,0,1
322,2020-04-27 03:10:24+00:00,0,Chulumani,1,0,1
323,2020-04-27 03:10:25+00:00,0,Santuario de Quillacas,3,0,3
324,2020-04-27 03:10:26+00:00,2,La Guardia,26,0,24
325,2020-04-27 03:10:27+00:00,0,Cotoca,7,0,7
326,2020-04-27 03:10:28+00:00,1,Warnes,14,0,13
327,2020-04-27 03:10:29+00:00,0,Uyuni,1,0,1
328,2020-04-27 03:10:30+00:00,0,Santa Rosa,16,0,16
329,2020-04-27 03:10:31+00:00,0,San Pedro,1,0,1
330,2020-04-27 03:10:32+00:00,0,Genreal Saavedra,5,0,5
331,2020-04-27 03:10:33+00:00,1,Trinidad,38,0,37
334,2020-04-27 03:10:38+00:00,0,Mineros,1,0,1
335,2020-04-27 03:10:39+00:00,0,El Torno,1,0,1
336,2020-04-27 03:10:40+00:00,0,Colcha K,3,0,3
337,2020-04-27 03:10:41+00:00,0,Pailon,2,0,2
338,2020-04-27 03:10:42+00:00,0,Moxos,1,0,1
339,2020-04-27 03:10:43+00:00,0,Mairana,1,0,1
340,2020-04-27 03:10:45+00:00,0,Buena Vista,1,0,1
55,2020-04-27 03:01:57+00:00,0,Chimore,1,1,0
64,2020-04-27 03:02:15+00:00,1,Cobija,12,6,5
66,2020-04-27 03:02:18+00:00,2,Cochabamba,27,7,18
68,2020-04-27 03:02:21+00:00,0,Colcapirhua,1,1,0
79,2020-04-27 03:02:42+00:00,0,Concepcion,1,0,1
80,2020-04-27 03:02:43+00:00,0,Copacabana,1,1,0
95,2020-04-27 03:03:12+00:00,6,El Alto,46,5,35
