index,date_get,decesos,municipio,positivos,recuperados,activos
132,2020-05-09 16:11,9,La Paz,141,30,102
154,2020-05-09 16:13,10,Montero,273,11,252
162,2020-05-09 16:14,0,Omereque,5,4,1
163,2020-05-09 16:14,3,Oruro,80,22,55
174,2020-05-09 16:15,1,Patacamaya,23,3,19
183,2020-05-09 16:16,0,Porongo (Ayacucho),1,1,0
187,2020-05-09 16:16,1,Potosi,29,2,26
209,2020-05-09 16:19,1,Robore,6,3,2
212,2020-05-09 16:19,1,Sacaba,3,1,1
226,2020-05-09 16:20,0,San Carlos,1,1,0
252,2020-05-09 16:23,31,Santa Cruz de la Sierra,628,48,549
262,2020-05-09 16:24,0,Santibañez,12,8,4
272,2020-05-09 16:25,1,Sucre,6,1,4
282,2020-05-09 16:26,0,Tarija,5,0,5
310,2020-05-09 16:29,0,Vallegrande,8,4,4
311,2020-05-09 16:29,1,Punata,9,0,8
312,2020-05-09 16:29,0,Cairoma,12,1,11
313,2020-05-09 16:29,0,Capinota,0,0,0
314,2020-05-09 16:29,1,Quillacollo,18,0,17
315,2020-05-09 16:30,1,Cliza,1,0,0
317,2020-05-09 16:30,0,Huanuni,21,4,17
318,2020-05-09 16:30,0,Laja,1,0,1
319,2020-05-09 16:30,4,Eucaliptus,9,0,5
320,2020-05-09 16:30,0,San Julián,3,0,3
321,2020-05-09 16:30,0,Malla,1,0,1
323,2020-05-09 16:30,0,Santuario de Quillacas,3,2,1
324,2020-05-09 16:30,3,La Guardia,58,0,55
325,2020-05-09 16:31,0,Cotoca,8,0,8
326,2020-05-09 16:31,1,Warnes,27,0,26
327,2020-05-09 16:31,0,Uyuni,3,0,3
328,2020-05-09 16:31,0,Santa Rosa,16,0,16
329,2020-05-09 16:31,0,San Pedro,1,0,1
330,2020-05-09 16:31,0,Genreal Saavedra,5,0,5
331,2020-05-09 16:31,7,Trinidad,210,0,203
334,2020-05-09 16:31,0,Mineros,12,0,12
335,2020-05-09 16:32,0,El Torno,13,0,13
336,2020-05-09 16:32,0,Colcha K,3,0,3
337,2020-05-09 16:32,0,Pailon,8,0,8
338,2020-05-09 16:32,0,Moxos,1,0,1
339,2020-05-09 16:32,0,Mairana,3,0,3
340,2020-05-09 16:32,0,Buena Vista,1,0,1
341,2020-05-09 16:32,0,Portachuelo,3,0,3
342,2020-05-09 16:32,0,Viacha,1,0,1
343,2020-05-09 16:32,0,Camiri,2,0,2
344,2020-05-09 16:32,0,Vinto,1,0,1
345,2020-05-09 16:33,0,Guayaramerin,1,0,1
346,2020-05-09 16:33,0,Achacachi,1,0,1
347,2020-05-09 16:33,0,Cabezas,2,0,2
348,2020-05-09 16:33,1,Yacuiba,1,0,0
349,2020-05-09 16:33,0,Puerto Suarez,1,0,1
350,2020-05-09 16:33,0,Chulumani,1,0,1
351,2020-05-09 16:33,0,Samaipata,1,0,1
352,2020-05-09 16:33,0,Moro Moro,1,0,1
55,2020-05-09 16:02,0,Chimore,1,1,0
64,2020-05-09 16:03,1,Cobija,12,6,5
66,2020-05-09 16:04,2,Cochabamba,30,10,18
68,2020-05-09 16:04,0,Colcapirhua,2,1,1
79,2020-05-09 16:05,0,Concepcion,1,0,1
80,2020-05-09 16:05,0,Copacabana,1,1,0
95,2020-05-09 16:07,6,El Alto,71,10,55
