index,date_get,decesos,municipio,positivos,recuperados,activos
132,2020-05-03 06:00,8,La Paz,122,18,96
154,2020-05-03 06:01,7,Montero,155,10,138
162,2020-05-03 06:01,0,Omereque,5,4,1
163,2020-05-03 06:01,2,Oruro,74,10,62
174,2020-05-03 06:01,1,Patacamaya,23,2,20
183,2020-05-03 06:02,0,Porongo (Ayacucho),1,1,0
187,2020-05-03 06:02,1,Potosi,22,2,19
209,2020-05-03 06:03,1,Robore,5,3,1
212,2020-05-03 06:03,1,Sacaba,2,1,0
226,2020-05-03 06:03,0,San Carlos,1,0,1
252,2020-05-03 06:04,21,Santa Cruz de la Sierra,421,46,354
262,2020-05-03 06:04,0,Santibañez,12,8,4
272,2020-05-03 06:05,0,Sucre,4,0,4
282,2020-05-03 06:05,0,Tarija,3,0,3
310,2020-05-03 06:06,0,Vallegrande,8,4,4
311,2020-05-03 06:06,1,Punata,9,0,8
312,2020-05-03 06:06,0,Cairoma,12,0,12
313,2020-05-03 06:06,0,Capinota,0,0,0
314,2020-05-03 06:06,1,Quillacollo,18,0,17
315,2020-05-03 06:06,1,Cliza,1,0,0
317,2020-05-03 06:06,0,Huanuni,21,0,21
318,2020-05-03 06:06,0,Laja,1,0,1
319,2020-05-03 06:06,4,Eucaliptus,9,0,5
320,2020-05-03 06:06,0,San Julián,1,0,1
321,2020-05-03 06:06,0,Malla,1,0,1
322,2020-05-03 06:06,0,Chulumani,1,0,1
323,2020-05-03 06:06,0,Santuario de Quillacas,3,0,3
324,2020-05-03 06:06,3,La Guardia,34,0,31
325,2020-05-03 06:06,0,Cotoca,7,0,7
326,2020-05-03 06:06,1,Warnes,16,0,15
327,2020-05-03 06:06,0,Uyuni,1,0,1
328,2020-05-03 06:06,0,Santa Rosa,16,0,16
329,2020-05-03 06:06,0,San Pedro,1,0,1
330,2020-05-03 06:06,0,Genreal Saavedra,5,0,5
331,2020-05-03 06:06,3,Trinidad,82,0,79
334,2020-05-03 06:06,0,Mineros,6,0,6
335,2020-05-03 06:06,0,El Torno,4,0,4
336,2020-05-03 06:06,0,Colcha K,3,0,3
337,2020-05-03 06:06,0,Pailon,8,0,8
338,2020-05-03 06:06,0,Moxos,1,0,1
339,2020-05-03 06:06,0,Mairana,1,0,1
340,2020-05-03 06:06,0,Buena Vista,1,0,1
341,2020-05-03 06:06,0,Portachuelo,1,0,1
342,2020-05-03 06:06,0,Viacha,1,0,1
55,2020-05-03 05:58,0,Chimore,1,1,0
64,2020-05-03 05:58,1,Cobija,12,6,5
66,2020-05-03 05:58,2,Cochabamba,31,10,19
68,2020-05-03 05:58,0,Colcapirhua,1,1,0
79,2020-05-03 05:58,0,Concepcion,1,0,1
80,2020-05-03 05:58,0,Copacabana,1,1,0
95,2020-05-03 05:59,6,El Alto,59,6,47
