index,date_get,decesos,municipio,positivos,recuperados,activos
132,2020-06-11 06:09,13,La Paz,324,144,167
154,2020-06-11 06:12,38,Montero,1115,320,757
162,2020-06-11 06:12,0,Omereque,5,5,0
163,2020-06-11 06:13,13,Oruro,180,50,117
174,2020-06-11 06:14,2,Patacamaya,31,18,11
183,2020-06-11 06:15,0,Porongo (Ayacucho),38,1,37
187,2020-06-11 06:15,2,Potosi,75,22,51
209,2020-06-11 06:17,1,Robore,7,5,1
212,2020-06-11 06:17,5,Sacaba,176,1,170
226,2020-06-11 06:19,0,San Carlos,21,1,20
252,2020-06-11 06:21,150,Santa Cruz de la Sierra,5765,961,4654
262,2020-06-11 06:22,1,Santibañez,14,12,1
272,2020-06-11 06:23,2,Sucre,27,12,13
282,2020-06-11 06:25,1,Tarija,32,9,22
310,2020-06-11 06:27,0,Vallegrande,12,4,8
311,2020-06-11 06:27,1,Punata,21,5,15
312,2020-06-11 06:28,0,Cairoma,11,11,0
313,2020-06-11 06:28,1,Capinota,2,0,1
314,2020-06-11 06:28,4,Quillacollo,100,15,81
315,2020-06-11 06:28,1,Cliza,2,1,0
317,2020-06-11 06:28,5,Huanuni,55,16,34
318,2020-06-11 06:28,0,Laja,1,0,1
319,2020-06-11 06:28,3,Eucaliptus,18,6,9
320,2020-06-11 06:28,0,San Julián,17,2,15
321,2020-06-11 06:28,0,Malla,1,1,0
323,2020-06-11 06:29,0,Santuario de Quillacas,3,2,1
324,2020-06-11 06:29,5,La Guardia,288,21,262
325,2020-06-11 06:29,2,Cotoca,59,3,54
326,2020-06-11 06:29,2,Warnes,161,2,157
327,2020-06-11 06:29,0,Uyuni,3,3,0
328,2020-06-11 06:29,0,Santa Rosa,27,5,22
329,2020-06-11 06:29,0,San Pedro,143,13,130
330,2020-06-11 06:29,0,Genreal Saavedra,34,10,24
331,2020-06-11 06:29,108,Trinidad,2186,16,2062
334,2020-06-11 06:30,4,Mineros,77,26,47
335,2020-06-11 06:30,1,El Torno,140,19,120
336,2020-06-11 06:30,0,Colcha K,6,3,3
337,2020-06-11 06:30,1,Pailon,51,0,50
339,2020-06-11 06:30,2,Mairana,27,1,24
340,2020-06-11 06:30,0,Buena Vista,15,1,14
341,2020-06-11 06:30,2,Portachuelo,144,0,142
342,2020-06-11 06:30,0,Viacha,59,2,57
343,2020-06-11 06:31,0,Camiri,27,9,18
344,2020-06-11 06:31,1,Vinto,16,0,15
345,2020-06-11 06:31,7,Guayaramerin,115,0,108
346,2020-06-11 06:31,1,Achacachi,3,1,1
347,2020-06-11 06:31,0,Cabezas,20,2,18
348,2020-06-11 06:31,1,Yacuiba,17,0,16
349,2020-06-11 06:31,0,Puerto Suarez,6,0,6
350,2020-06-11 06:31,0,Chulumani,1,1,0
351,2020-06-11 06:31,0,Samaipata,8,0,8
352,2020-06-11 06:31,0,Moro Moro,21,0,21
353,2020-06-11 06:32,1,Cuatro Cañadas,25,0,24
354,2020-06-11 06:32,0,San Ignacio de Moxos,6,0,6
355,2020-06-11 06:32,0,Culpina,1,1,0
356,2020-06-11 06:32,0,Cajuata,1,1,0
