index,date_get,decesos,municipio,positivos,recuperados,activos
132,2020-05-13 18:09,7,La Paz,140,30,103
154,2020-05-13 18:12,11,Montero,368,11,346
162,2020-05-13 18:12,0,Omereque,5,4,1
163,2020-05-13 18:13,5,Oruro,78,22,51
174,2020-05-13 18:14,1,Patacamaya,27,3,23
183,2020-05-13 18:15,0,Porongo (Ayacucho),2,1,1
187,2020-05-13 18:15,1,Potosi,29,2,26
209,2020-05-13 18:17,1,Robore,6,3,2
212,2020-05-13 18:18,1,Sacaba,3,1,1
226,2020-05-13 18:19,0,San Carlos,1,1,0
252,2020-05-13 18:22,38,Santa Cruz de la Sierra,910,48,824
262,2020-05-13 18:23,0,Santibañez,12,8,4
272,2020-05-13 18:24,1,Sucre,13,1,11
282,2020-05-13 18:25,0,Tarija,8,0,8
310,2020-05-13 18:27,0,Vallegrande,8,4,4
311,2020-05-13 18:28,1,Punata,9,0,8
312,2020-05-13 18:28,0,Cairoma,11,1,10
313,2020-05-13 18:28,0,Capinota,0,0,0
314,2020-05-13 18:28,1,Quillacollo,20,0,19
315,2020-05-13 18:28,1,Cliza,1,0,0
317,2020-05-13 18:28,0,Huanuni,29,4,25
318,2020-05-13 18:28,0,Laja,1,0,1
319,2020-05-13 18:28,4,Eucaliptus,11,0,7
320,2020-05-13 18:28,0,San Julián,3,0,3
321,2020-05-13 18:28,0,Malla,1,0,1
323,2020-05-13 18:29,0,Santuario de Quillacas,3,2,1
324,2020-05-13 18:29,3,La Guardia,72,0,69
325,2020-05-13 18:29,0,Cotoca,8,0,8
326,2020-05-13 18:29,1,Warnes,32,0,31
327,2020-05-13 18:29,0,Uyuni,3,0,3
328,2020-05-13 18:29,0,Santa Rosa,16,0,16
329,2020-05-13 18:29,0,San Pedro,9,0,9
330,2020-05-13 18:29,0,Genreal Saavedra,8,0,8
331,2020-05-13 18:29,23,Trinidad,309,0,286
334,2020-05-13 18:30,0,Mineros,20,0,20
335,2020-05-13 18:30,0,El Torno,27,0,27
336,2020-05-13 18:30,0,Colcha K,3,0,3
337,2020-05-13 18:30,0,Pailon,9,0,9
339,2020-05-13 18:30,1,Mairana,5,0,4
340,2020-05-13 18:30,0,Buena Vista,2,0,2
341,2020-05-13 18:30,0,Portachuelo,10,0,10
342,2020-05-13 18:31,0,Viacha,5,0,5
343,2020-05-13 18:31,0,Camiri,3,0,3
344,2020-05-13 18:31,0,Vinto,1,0,1
345,2020-05-13 18:31,0,Guayaramerin,1,0,1
346,2020-05-13 18:31,0,Achacachi,1,0,1
347,2020-05-13 18:31,0,Cabezas,2,0,2
348,2020-05-13 18:31,1,Yacuiba,1,0,0
349,2020-05-13 18:31,0,Puerto Suarez,1,0,1
350,2020-05-13 18:31,0,Chulumani,1,0,1
351,2020-05-13 18:31,0,Samaipata,1,0,1
352,2020-05-13 18:32,0,Moro Moro,2,0,2
353,2020-05-13 18:32,1,Cuatro Cañadas,2,0,1
354,2020-05-13 18:32,0,San Ignacio de Moxos,2,0,2
355,2020-05-13 18:32,0,Culpina,1,0,1
356,2020-05-13 18:32,0,Cajuata,1,0,1
357,2020-05-13 18:32,0,Sica Sica,1,0,1
358,2020-05-13 18:32,0,San Juan de Yapacaní,7,0,7
359,2020-05-13 18:32,0,San Lorenzo,1,0,1
360,2020-05-13 18:32,0,Colpa Bélgica,1,0,1
361,2020-05-13 18:32,0,Fernández Alonzo,1,0,1
55,2020-05-13 18:02,0,Chimore,1,1,0
64,2020-05-13 18:03,1,Cobija,12,6,5
66,2020-05-13 18:03,2,Cochabamba,41,10,29
68,2020-05-13 18:03,0,Colcapirhua,2,1,1
79,2020-05-13 18:04,0,Concepcion,1,0,1
80,2020-05-13 18:04,0,Copacabana,1,1,0
95,2020-05-13 18:06,8,El Alto,111,10,93
