index,date_get,decesos,municipio,positivos,recuperados,activos,fecha
132,2020-05-04 06:00,8,La Paz,129,24,97,2020-05-03
154,2020-05-04 06:01,9,Montero,239,11,219,2020-05-03
162,2020-05-04 06:01,0,Omereque,5,4,1,2020-05-03
163,2020-05-04 06:01,3,Oruro,78,22,53,2020-05-03
174,2020-05-04 06:01,1,Patacamaya,23,3,19,2020-05-03
183,2020-05-04 06:02,0,Porongo (Ayacucho),1,1,0,2020-05-03
187,2020-05-04 06:02,1,Potosi,22,2,19,2020-05-03
209,2020-05-04 06:03,1,Robore,5,3,1,2020-05-03
212,2020-05-04 06:03,1,Sacaba,3,1,1,2020-05-03
226,2020-05-04 06:03,0,San Carlos,1,0,1,2020-05-03
252,2020-05-04 06:04,26,Santa Cruz de la Sierra,515,48,441,2020-05-03
262,2020-05-04 06:04,0,Santibañez,12,8,4,2020-05-03
272,2020-05-04 06:05,0,Sucre,4,0,4,2020-05-03
282,2020-05-04 06:05,0,Tarija,3,0,3,2020-05-03
310,2020-05-04 06:06,0,Vallegrande,8,4,4,2020-05-03
311,2020-05-04 06:06,1,Punata,9,0,8,2020-05-03
312,2020-05-04 06:06,0,Cairoma,12,1,11,2020-05-03
313,2020-05-04 06:06,0,Capinota,0,0,0,2020-05-03
314,2020-05-04 06:06,1,Quillacollo,18,0,17,2020-05-03
315,2020-05-04 06:06,1,Cliza,1,0,0,2020-05-03
317,2020-05-04 06:06,0,Huanuni,21,4,17,2020-05-03
318,2020-05-04 06:06,0,Laja,1,0,1,2020-05-03
319,2020-05-04 06:06,4,Eucaliptus,9,0,5,2020-05-03
320,2020-05-04 06:06,0,San Julián,1,0,1,2020-05-03
321,2020-05-04 06:06,0,Malla,1,0,1,2020-05-03
322,2020-05-04 06:06,0,Chulumani,1,0,1,2020-05-03
323,2020-05-04 06:06,0,Santuario de Quillacas,3,2,1,2020-05-03
324,2020-05-04 06:06,3,La Guardia,47,0,44,2020-05-03
325,2020-05-04 06:06,0,Cotoca,8,0,8,2020-05-03
326,2020-05-04 06:06,1,Warnes,20,0,19,2020-05-03
327,2020-05-04 06:06,0,Uyuni,1,0,1,2020-05-03
328,2020-05-04 06:06,0,Santa Rosa,16,0,16,2020-05-03
329,2020-05-04 06:06,0,San Pedro,1,0,1,2020-05-03
330,2020-05-04 06:06,0,Genreal Saavedra,5,0,5,2020-05-03
331,2020-05-04 06:06,6,Trinidad,210,0,204,2020-05-03
334,2020-05-04 06:06,0,Mineros,10,0,10,2020-05-03
335,2020-05-04 06:06,0,El Torno,11,0,11,2020-05-03
336,2020-05-04 06:06,0,Colcha K,3,0,3,2020-05-03
337,2020-05-04 06:06,0,Pailon,8,0,8,2020-05-03
338,2020-05-04 06:06,0,Moxos,1,0,1,2020-05-03
339,2020-05-04 06:06,0,Mairana,1,0,1,2020-05-03
340,2020-05-04 06:06,0,Buena Vista,1,0,1,2020-05-03
341,2020-05-04 06:06,0,Portachuelo,3,0,3,2020-05-03
342,2020-05-04 06:06,0,Viacha,1,0,1,2020-05-03
343,2020-05-04 06:06,0,Camiri,2,0,2,2020-05-03
344,2020-05-04 06:06,0,Vinto,1,0,1,2020-05-03
345,2020-05-04 06:06,0,Guaramerin,1,0,1,2020-05-03
346,2020-05-04 06:06,0,Achacachi,1,0,1,2020-05-03
55,2020-05-04 05:58,0,Chimore,1,1,0,2020-05-03
64,2020-05-04 05:58,1,Cobija,12,6,5,2020-05-03
66,2020-05-04 05:58,2,Cochabamba,30,10,18,2020-05-03
68,2020-05-04 05:58,0,Colcapirhua,1,1,0,2020-05-03
79,2020-05-04 05:58,0,Concepcion,1,0,1,2020-05-03
80,2020-05-04 05:58,0,Copacabana,1,1,0,2020-05-03
95,2020-05-04 05:59,6,El Alto,71,9,56,2020-05-03
