index,date_get,decesos,municipio,positivos,recuperados,activos
132,2020-06-06 04:10,11,La Paz,208,125,72
154,2020-06-06 04:12,26,Montero,992,53,913
162,2020-06-06 04:13,0,Omereque,5,5,0
163,2020-06-06 04:13,7,Oruro,120,49,64
174,2020-06-06 04:14,2,Patacamaya,27,18,7
183,2020-06-06 04:15,0,Porongo (Ayacucho),27,1,26
187,2020-06-06 04:15,2,Potosi,32,22,8
209,2020-06-06 04:17,1,Robore,7,5,1
212,2020-06-06 04:18,5,Sacaba,103,1,97
226,2020-06-06 04:19,0,San Carlos,10,1,9
252,2020-06-06 04:22,102,Santa Cruz de la Sierra,4188,259,3827
262,2020-06-06 04:23,0,Santibañez,12,12,0
272,2020-06-06 04:24,2,Sucre,19,12,5
282,2020-06-06 04:25,1,Tarija,24,6,17
310,2020-06-06 04:28,0,Vallegrande,10,4,6
311,2020-06-06 04:28,1,Punata,18,5,12
312,2020-06-06 04:28,0,Cairoma,11,11,0
313,2020-06-06 04:28,0,Capinota,1,0,1
314,2020-06-06 04:28,2,Quillacollo,52,15,35
315,2020-06-06 04:28,1,Cliza,2,1,0
317,2020-06-06 04:28,4,Huanuni,49,16,29
318,2020-06-06 04:28,0,Laja,1,0,1
319,2020-06-06 04:28,3,Eucaliptus,18,6,9
320,2020-06-06 04:29,0,San Julián,12,2,10
321,2020-06-06 04:29,0,Malla,1,0,1
323,2020-06-06 04:29,0,Santuario de Quillacas,3,2,1
324,2020-06-06 04:29,5,La Guardia,262,19,238
325,2020-06-06 04:29,1,Cotoca,51,3,47
326,2020-06-06 04:29,2,Warnes,137,2,133
327,2020-06-06 04:29,0,Uyuni,3,3,0
328,2020-06-06 04:29,0,Santa Rosa,25,5,20
329,2020-06-06 04:29,0,San Pedro,131,1,130
330,2020-06-06 04:30,0,Genreal Saavedra,34,0,34
331,2020-06-06 04:30,84,Trinidad,1551,8,1459
334,2020-06-06 04:30,0,Mineros,71,0,71
335,2020-06-06 04:30,1,El Torno,119,12,106
336,2020-06-06 04:30,0,Colcha K,4,3,1
337,2020-06-06 04:30,1,Pailon,35,0,34
339,2020-06-06 04:30,2,Mairana,27,1,24
340,2020-06-06 04:31,0,Buena Vista,14,0,14
341,2020-06-06 04:31,2,Portachuelo,132,0,130
342,2020-06-06 04:31,0,Viacha,19,3,16
343,2020-06-06 04:31,0,Camiri,16,7,9
344,2020-06-06 04:31,1,Vinto,11,0,10
345,2020-06-06 04:31,4,Guayaramerin,115,0,111
346,2020-06-06 04:31,0,Achacachi,1,1,0
347,2020-06-06 04:31,0,Cabezas,15,2,13
348,2020-06-06 04:31,1,Yacuiba,1,0,0
349,2020-06-06 04:31,0,Puerto Suarez,4,0,4
350,2020-06-06 04:31,0,Chulumani,1,0,1
351,2020-06-06 04:32,0,Samaipata,4,0,4
352,2020-06-06 04:32,0,Moro Moro,19,0,19
353,2020-06-06 04:32,1,Cuatro Cañadas,15,0,14
354,2020-06-06 04:32,0,San Ignacio de Moxos,5,0,5
355,2020-06-06 04:32,0,Culpina,1,0,1
356,2020-06-06 04:32,0,Cajuata,1,1,0
357,2020-06-06 04:32,1,Sica Sica,2,1,0
358,2020-06-06 04:32,0,San Juan de Yapacaní,10,0,10
359,2020-06-06 04:32,0,San Lorenzo,1,1,0
360,2020-06-06 04:32,2,Colpa Bélgica,38,0,36
361,2020-06-06 04:33,1,Fernández Alonzo,49,0,48
362,2020-06-06 04:33,0,Ayopaya (V. de Independencia),1,0,1
363,2020-06-06 04:33,1,Umala,10,0,9
364,2020-06-06 04:33,0,Tarata,2,0,2
365,2020-06-06 04:33,0,Arani,3,0,3
366,2020-06-06 04:33,0,Vacas,2,0,2
367,2020-06-06 04:33,1,Colomi,3,0,2
368,2020-06-06 04:33,0,Villa Tunari,19,0,19
369,2020-06-06 04:33,1,Puerto Villarroel,20,0,19
370,2020-06-06 04:33,4,Entre Rios,39,0,35
371,2020-06-06 04:34,1,San Benito,8,0,7
372,2020-06-06 04:34,0,Yapacaní,34,0,34
373,2020-06-06 04:34,0,Monteagudo,4,0,4
374,2020-06-06 04:34,1,Sipe Sipe,17,0,16
375,2020-06-06 04:34,0,Tiquipaya,5,0,5
376,2020-06-06 04:34,0,Okinawa Uno,8,0,8
377,2020-06-06 04:34,0,San Andres,14,0,14
378,2020-06-06 04:34,0,Icla,1,0,1
379,2020-06-06 04:34,0,Caranavi,3,0,3
380,2020-06-06 04:34,0,Shinaota,15,0,15
381,2020-06-06 04:34,1,San José de Chiquitos,16,0,15
382,2020-06-06 04:35,0,Lagunillas,4,0,4
383,2020-06-06 04:35,0,Asención de Guarayos,9,0,9
384,2020-06-06 04:35,0,Riberalta,17,0,17
385,2020-06-06 04:35,0,San Borja,1,0,1
386,2020-06-06 04:35,0,Santa Ana,3,0,3
387,2020-06-06 04:35,1,San Ramon,1,0,0
388,2020-06-06 04:35,0,Colquiri,2,0,2
389,2020-06-06 04:35,0,Tolata,1,0,1
390,2020-06-06 04:35,0,Achocalla,3,0,3
391,2020-06-06 04:35,0,Bolivar,1,0,1
392,2020-06-06 04:36,0,Uncía,1,0,1
393,2020-06-06 04:36,0,Llallagua,8,0,8
394,2020-06-06 04:36,0,Padcaya,1,0,1
395,2020-06-06 04:36,0,Caraparí,1,0,1
396,2020-06-06 04:36,1,Villamontes,4,0,3
397,2020-06-06 04:36,0,San Ignacio de Velazco,2,0,2
398,2020-06-06 04:36,0,San Antonio de Lomerío,2,0,2
399,2020-06-06 04:36,0,Quirusillas,1,0,1
55,2020-06-06 04:02,1,Chimore,15,1,13
64,2020-06-06 04:03,1,Cobija,14,7,6
66,2020-06-06 04:03,4,Cochabamba,195,20,171
68,2020-06-06 04:03,0,Colcapirhua,6,0,6
79,2020-06-06 04:04,0,Concepcion,4,0,4
80,2020-06-06 04:04,0,Copacabana,1,1,0
95,2020-06-06 04:06,12,El Alto,187,80,95
