daily_depto,2020-04-20,2020-04-21,2020-04-22,2020-04-23,2020-04-24,2020-04-25,2020-04-26,2020-04-27
BN,0,1,1,1,1,1,1,1
CB,6,6,6,6,6,6,6,6
CH,0,0,0,0,0,0,0,0
LP,12,12,13,13,14,15,15,15
OR,2,2,2,2,2,2,4,4
PN,1,1,1,1,1,1,1,1
PT,1,1,1,1,1,1,1,1
SC,12,14,16,19,19,20,22,25
TJ,0,0,0,0,0,0,0,0
